symbol,name,cmc_rank,price_usd,market_cap_usd,volume_24h_usd,pct_1h,pct_24h,pct_7d,circulating_supply,last_updated,timestamp_snapshot
CHATOSHI,chAtoshI,5318,0.0007086668602239698,0,118.9707255,2.46957698,2.45616274,-9.60217367,0,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
CLOUD,Cloud,3901,0.021617972834188218,0,350039.21873356,0.04291814,-0.24173116,-12.36921296,0,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
CRV,Curve DAO Token,102,0.2124044561527874,315556300.4169313,48800547.51559479,0.87652323,0.97735737,-1.20085006,1485638795.5907307,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
DOGE,Dogecoin,9,0.09195078922129593,14143413070.076153,1049275815.175164,0.28764111,1.35561733,-0.45816799,153815026383.70523,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
DOT,Polkadot,39,1.1714472598085994,1966886418.9398503,288735867.95132476,0.04865878,-4.93170571,-8.4296136,1679022595.7429924,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
DRIFT,Drift,607,0.04015770611723324,24557072.749657024,73051244.36881983,-2.36539221,7.50305749,35.87610988,611515824.085346,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
EIGEN,EigenCloud,179,0.15468389229045496,106900875.98902528,14478719.29930978,-0.04280191,0.34178042,-2.08223899,691092488.0807501,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
ENJ,Enjin Coin,256,0.04322620094596825,84228135.04398215,292866502.7524138,-2.04289895,8.97759399,121.36806276,1948543549.9933333,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
ENS,Ethereum Name Service,128,5.6351533888869625,216277263.3118052,15160605.71959661,0.59991149,1.36074828,-2.40654268,38380013.53047882,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
FARTCOIN,Fartcoin,138,0.18337356908913702,183373249.28563252,26714772.42430507,1.16695536,-2.52662959,3.47903882,999998256,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
FWOG,Fwog (SOL),1256,0.0048082031081703985,4691052.8165304465,1002772.59384302,-0.32215795,0.38140778,-1.04115413,975635328,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
GALA,Gala,160,0.0029208378722636917,139112013.10986763,11902027.97514901,0.55264854,0.47969824,-1.04380101,47627434042.429,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
GGP,GoGoPool,6647,0.055436899372052276,0,0,0,-3.63864563,-9.32141841,0,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
GHST,Aavegotchi,1270,0.08626003953773301,4550027.418254029,1564726.60599586,-7.89190484,12.79799816,32.18597346,52747801.21406849,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
GMT,GMT,504,0.01045114566845427,32517696.25382396,85159586.38117732,0.36633156,-0.94754991,0.79528164,3111400155.102167,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
GRIFT,ORBIT,2536,0.0002354614710815325,235377.0642841481,959.00630221,0.81058868,4.04415909,4.91104686,999641526.076446,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
